Tên,Đánh giá,Thời gian,Review,sentiment,pain_point_flag,category,summary
Zhui Ri,1 sao,3 năm trước trên,"Vị trí có vẻ tuyệt vời, nhưng không thuận tiện cho việc đi bộ; bạn sẽ cần phải có người đưa đón hoặc phương tiện cá nhân trừ khi bạn cảm thấy thoải mái khi đi bộ băng qua con đường gần như là đường cao tốc để đến khu mua sắm. Phòng chúng …",Negative,True,Location_and_Access,"Vị trí khó tiếp cận cho người đi bộ, cần phương tiện di chuyển."
THE LAM LAW,3 sao,2 năm trước trên,Tòa nhà dễ tiếp cận nhưng có vẻ thiếu lễ tân sảnh để phục vụ tiện ích cho khách thăm,Negative,True,Staff_Service,Thiếu lễ tân phục vụ khách.
HyeongJune Kim,3 sao,2 năm trước trên,"Tôi đặt phòng qua Airbnb, nhưng

đó là một chỗ ở kiểu cũ, trông cổ hơn nhiều so với ảnh. …",Negative,True,Room_Amenities,"Phòng cũ kỹ, không giống hình ảnh quảng cáo."
Nancy Lebrun,3 sao,3 tháng trước trên,"Phòng của chúng tôi cũ kỹ và rất bẩn. May mắn là bể bơi khá ổn, nếu không thì tôi đã không quay lại đây nữa. Đừng phí tiền ở đây.",Negative,True,Cleanliness,"Phòng cũ và rất bẩn, không đáng tiền."
Greg Cha,3 sao,2 năm trước trên,"Về mặt tích cực, căn hộ nằm ở vị trí thuận tiện để đi đến trung tâm thành phố. Ngoại thất, an ninh và sự sạch sẽ (các tiện ích chung như hành lang và sảnh) được bảo trì tốt. Về mặt tiêu cực, thiếu các tiện nghi như nhà hàng và quán cà phê …",Neutral,True,Room_Amenities,"Vị trí tốt và sạch sẽ nhưng thiếu các tiện ích như nhà hàng, quán cà phê."
Mah Abdul “Kalla”,3 sao,3 năm trước trên,😶‍🌫️ …,Neutral,False,,Không có nội dung cụ thể.
Nolan Hoang,3 sao,một năm trước trên,Tòa nhà rất cũ,Negative,True,Room_Amenities,Tòa nhà đã quá cũ.
VANNAM BOOKING,4 sao,5 năm trước trên,"Chung cư tuy cũ nhưng được bảo dưỡng khá sạch sẽ, mang phong cách 1 khách sạn cổ điển Châu Âu, có cảm giác đang đi ở khách sạn nhiều hơn cảm giác 1 căn hộ gia đình",Positive,False,Boutique_Experience,"Chung cư cũ nhưng sạch sẽ, mang phong cách khách sạn cổ điển."
Chi N Nguyen,4 sao,2 năm trước trên,"tiện nghi khá ổn, ở thoải mái nhưng hơi phiền vì khá xa các trung tâm thương mại, dịch vụ",Neutral,True,Location_and_Access,Tiện nghi ổn nhưng vị trí xa các trung tâm thương mại.
Lê Tuấn Nguyễn,4 sao,2 năm trước trên,"Chung cư xây lâu, khá cao cấp",Positive,False,Others,Chung cư xây lâu nhưng vẫn giữ được sự cao cấp.
Hcm Hutech,4 sao,4 năm trước trên,"Vị trí thuận lợi, kiến trúc đẹp",Positive,False,Location_and_Access,Vị trí thuận lợi và kiến trúc đẹp.
VANNHA NGUYEN,4 sao,4 năm trước trên,Tôi không thích Đăng ảnh của tôi,Negative,True,Others,Khách hàng không hài lòng về việc sử dụng hình ảnh cá nhân.
Trip.com Member,4 sao,4 tháng trước trên,"Vị trí chỗ ở khá tốt. Trung tâm Quận 1 và các địa danh cách đó khoảng 10 phút. Tòa nhà hơi cũ, nhưng bên trong sạch sẽ. Tôi có thể liên hệ với quản lý ngay lập tức. Có một cửa hàng tiện lợi ở tầng một. Tôi dự định sẽ ở lại đây lần nữa vào lần sau. Nhược điểm duy nhất là nội thất không được dọn dẹp trong suốt 3 đêm tôi ở đó.",Neutral,True,Cleanliness,Vị trí tốt và sạch sẽ nhưng nội thất không được dọn dẹp trong suốt thời gian lưu trú.
Trip.com Member,4 sao,8 tháng trước trên,"Vị trí an toàn và giá cả hợp lý. Trước khi đặt phòng, tôi thấy các đánh giá trực tuyến đề cập đến dịch vụ giặt ủi miễn phí, nhưng dịch vụ này không có sẵn trong phòng, và bạn sẽ không tìm thấy nó ngoài giờ sáng sớm. Tuy nhiên, có một cửa …",Neutral,True,Room_Amenities,Giá hợp lý nhưng dịch vụ giặt ủi không đúng như quảng cáo.
Trip.com Member,4 sao,9 tháng trước trên,"Nhìn chung, tôi khá hài lòng khi ở khách sạn này. Nó đáp ứng đúng những gì bạn cần. Như đã nêu trong mô tả, phòng không có cửa sổ và không quá rộng rãi, nhưng rất sạch sẽ, đầy đủ tiện nghi, được thiết kế chu đáo và trang nhã. Tôi chắc chắn sẽ quay lại đây lần nữa.",Positive,False,Room_Amenities,"Phòng sạch sẽ, tiện nghi và thiết kế đẹp dù không có cửa sổ."
KEN LOUGH,4 sao,2 năm trước trên,"Tòa nhà chung cư cũ, hơi xa trung tâm thành phố một chút, nhưng gần Landmark 81 với khu mua sắm tuyệt vời và tòa tháp Sky Tower. Công viên Vincom là nơi thư giãn tuyệt vời. Tất cả nhân viên tại Manor 2 đều rất nhiệt tình giúp đỡ. Rất sạch sẽ, hồ bơi tuy hơi cũ nhưng được bảo trì tốt và sạch sẽ.",Positive,False,Staff_Service,"Nhân viên nhiệt tình, khách sạn sạch sẽ và gần các khu tiện ích."
Ak,4 sao,3 năm trước trên,"Căn hộ hơi cũ nhưng vẫn khá tốt. Tầng 25 có hồ bơi khá đẹp và tầm nhìn tuyệt vời. Mặc dù thiết kế có vẻ hơi lỗi thời, nhưng đây vẫn là một nơi ở không tồi. Có một vài cửa hàng tiện lợi gần đó.",Neutral,False,Room_Amenities,Căn hộ hơi cũ nhưng có hồ bơi đẹp và vị trí thuận tiện.
Trip.com Member,4 sao,4 tháng trước trên,"Tình trạng tốt, dịch vụ tốt, môi trường tốt, vị trí tốt.",Positive,False,Others,Đánh giá tốt về mọi mặt từ dịch vụ đến vị trí.
JJJ ・,4 sao,2 năm trước trên,Đây là một bể bơi tuyệt đẹp.,Positive,False,Room_Amenities,Bể bơi đẹp.
Trip.com Member,4 sao,7 tháng trước trên,"Vị trí thuận tiện, đầy đủ tiện nghi, view đẹp từ giường, rất thích ở đây, có siêu thị 7/11 ở tầng trệt.",Positive,False,Location_and_Access,"Vị trí thuận tiện, tiện nghi đầy đủ và view đẹp."
Trip.com Member,4 sao,10 tháng trước trên,Nó ngon tuyệt.,Positive,False,F_and_B,The food is delicious.
Trip.com Member,4 sao,9 tháng trước trên,"Tôi rất hài lòng! Tôi muốn quay lại đây lần nữa. Mặc dù là một tòa nhà cũ, nhưng nó được bảo trì khá tốt, và tôi được biết rằng đối với những kỳ nghỉ dài ngày, việc dọn dẹp được thực hiện định kỳ, nếu không phải mỗi ngày. Chủ nhà rất tốt …",Positive,False,Staff_Service,"Great experience, well-maintained building, and very kind host."
Trip.com Member,4 sao,một năm trước trên,"Phòng là phòng studio, nhưng nhìn chung sạch sẽ và ngăn nắp. Vì hơi cũ nên cảm giác hơi lỗi thời, nhưng nhìn chung, tôi đã ở đó mà không gặp vấn đề gì lớn.",Neutral,False,Cleanliness,"Clean and tidy studio, though the decor feels a bit dated."
Tuấn Trần Anh,5 sao,5 tháng trước trên,Mình có trải nghiệm tốt tại đây. Nhân viện thân thiện và hỗ trợ nhiệt tình. Hầm giữ xe rộng rãi. Các tiện ích xung quanh đầy đủ.,Positive,False,Staff_Service,"Friendly staff, helpful service, and convenient parking."
Ngô Thị mai,5 sao,một năm trước trên,"Chị rất vui khi gặp đc e kì duyên hứa bao xe  2 chiều 1 Chiều đi 1chiều về ,và chị nhận 1tiểng đến bên e kì duyên và 1chuyến bao về với e , và chị mai nhận đc vêchrer 3ngày 2 đêm, chị đem cccd sản rồi đem cccd chị mai về",Neutral,False,Others,Review regarding booking arrangements and transportation.
Uyen Pham,5 sao,3 năm trước trên,"Nói về chỗ ở gần trung tâm và thuận tiện di chuyển thì mình thật sự thích The Manor, so với Vinhomes central park thì giá bên này rẻ hơn, nhưng với việc quản lý rất tốt thì The Manor rất đáng sống",Positive,False,Pricing_and_Fees,"Good location, affordable price, and excellent management."
Justin Mr.,5 sao,2 năm trước trên,"Bảo vệ nhiệt tình phục vụ như khách sạn dù đây là apartment, hành lang, thang máy luôn sạch sẽ.",Positive,False,Staff_Service,Enthusiastic security staff and clean common areas.
ngoc sam Nguyen,5 sao,Thời gian chỉnh sửa: 11 tháng trước trên,👍 …,Positive,False,,Positive feedback.
Miy0 My,5 sao,4 năm trước trên,Nhìn ngắm sài gòn với những ngày không làm gì,Positive,False,,Enjoyed the view and relaxing atmosphere.
Kim Nguyễn,5 sao,3 năm trước trên,Yên bình,Positive,False,Noise_and_Quietness,Peaceful environment.
Cang Justin,5 sao,3 năm trước trên,Tuyệt vời,Positive,False,Others,Tuyệt vời
Bảo Long,5 sao,2 năm trước trên,"Lịch sự , hầm gửi xe thoáng",Positive,False,Others,Lịch sự và hầm gửi xe thoáng
Willson Huỳnh,5 sao,một năm trước trên,Tốt,Positive,False,Others,Tốt
Lam Le,5 sao,2 năm trước trên,Tuyệt,Positive,False,Others,Tuyệt
Nhân Lê,5 sao,4 năm trước trên,Đẹp,Positive,False,Boutique_Experience,Đẹp
Trip.com Member,5 sao,7 tháng trước trên,"Phòng ấm cúng và rộng rãi. Vị trí thuận tiện, gần mọi thứ. Tôi đã có một kỳ nghỉ tuyệt vời và thoải mái, tôi rất khuyên bạn nên chọn nơi này.",Positive,False,Room_Amenities,"Phòng ấm cúng, rộng rãi và vị trí thuận tiện"
Trip.com Member,5 sao,9 tháng trước trên,"Tôi đã có một kỳ nghỉ tuyệt vời. Bể bơi trên tầng 25 rất tuyệt, và tôi đánh giá cao việc có chỗ đậu xe dành cho taxi Grab. Ngoài ra còn có một cửa hàng tiện lợi nhỏ ở tầng một.",Positive,False,Boutique_Experience,"Bể bơi đẹp, tiện ích đậu xe và cửa hàng tiện lợi tốt"
Liam G.,5 sao,2 năm trước trên,"Vị trí tuyệt vời! Nằm ngay giữa nhiều khu vực và chỉ cách trung tâm quận 1 10 phút đi xe. Tầm nhìn ngoạn mục ra tòa nhà Landmark 81 nếu bạn có thể đặt phòng hướng Bắc/Đông. Bể bơi trên sân thượng tuyệt vời, tầm nhìn bao quát tuyệt đẹp và …",Positive,False,Location_and_Access,"Vị trí tuyệt vời, view đẹp và bể bơi sân thượng ấn tượng"
Craig Lock,5 sao,2 năm trước trên,"Tôi thích ở đây, tôi ở tầng cao nhất nên rất yên tĩnh, không bị ảnh hưởng bởi tiếng ồn giao thông bên dưới. Đi bộ khoảng 40 phút là vào trung tâm thành phố, nhưng ở khu vực đó có một số nhà hàng và quán cà phê ngon. Ngoài ra còn có một siêu …",Positive,False,Noise_and_Quietness,Yên tĩnh ở tầng cao và gần nhiều nhà hàng
Hello World,5 sao,2 năm trước trên,"Tôi từng đến đây một lần với tư cách kỹ thuật viên để hỗ trợ khách hàng. Nơi này nằm trên đường Nguyễn Hữu Canh, có view rất đẹp, đối diện cổng vào là tòa nhà Landmark 81, tòa nhà mà tôi rất thích. An ninh tốt và bảo vệ thân thiện. Thiết kế căn hộ đẹp, tôi rất ấn tượng.",Positive,False,Boutique_Experience,"Thiết kế đẹp, an ninh tốt và bảo vệ thân thiện"
amar,5 sao,một năm trước trên,"Vị trí tuyệt vời tại khu trung tâm thương mại Sài Gòn, gần quán rượu Bác Long Phương. Tòa nhà có tầm nhìn hoàn hảo ra màn trình diễn pháo hoa. Khu vực rất an ninh và có chỗ đậu xe. Nhân viên tòa nhà nhiệt tình và chuyên nghiệp. Rất đáng để lựa chọn!",Positive,False,Location_and_Access,"Vị trí tuyệt vời, an ninh tốt và nhân viên chuyên nghiệp."
Souman Sh,5 sao,2 năm trước trên,"Nơi tuyệt vời để ở, tôi đã ở đây 2 ngày qua Airbnb và rất hài lòng.

Mọi thứ đều gọn gàng và sạch sẽ. Quảng trường Thời đại chỉ cách đó 5 km. …",Positive,False,Cleanliness,"Nơi ở gọn gàng, sạch sẽ và vị trí thuận tiện."
Tom Lee,5 sao,3 năm trước trên,"Tòa nhà Manor có vị trí rất thuận lợi và dễ dàng tiếp cận. Tòa nhà và các căn hộ đều trang nhã và được xây dựng tốt. Thiết kế bao gồm nhiều không gian mở, được ngăn cách khỏi tiếng ồn và sự hối hả nhộn nhịp của con đường phía trước.",Positive,False,Noise_and_Quietness,"Thiết kế trang nhã, không gian yên tĩnh dù nằm ở vị trí trung tâm."
Trip.com Member,5 sao,7 tháng trước trên,"Địa điểm thuận tiện, và chủ nhà Jincheol phản hồi nhanh chóng.",Positive,False,Staff_Service,Địa điểm thuận tiện và chủ nhà phản hồi nhanh.
Trip.com Member,5 sao,7 tháng trước trên,"Nơi này sạch sẽ, không chật chội và rất tiện lợi vì có cửa hàng tiện lợi gần đó.",Positive,False,Cleanliness,"Nơi ở sạch sẽ, không gian thoải mái và gần cửa hàng tiện lợi."
Mark Waldron,5 sao,2 năm trước trên,"Căn hộ tuyệt vời, hồ bơi đẹp, vị trí đắc địa, và chỉ cách chợ Bình Thạnh, đường Bùi Viện một quãng ngắn. …",Positive,False,Location_and_Access,Căn hộ tuyệt vời với hồ bơi đẹp và vị trí đắc địa.
Abhijith Balakrishnan,5 sao,2 năm trước trên,"Căn hộ đẹp với nhân viên thân thiện, cửa hàng tiện lợi Seven Eleven và hồ bơi sạch sẽ trên sân thượng.",Positive,False,Room_Amenities,"Căn hộ đẹp, nhân viên thân thiện và có hồ bơi sạch."
Thuý Phạm,5 sao,3 năm trước trên,"Các câu lạc bộ rất tốt với giá cả phải chăng, Nam rất nhiệt tình và thân thiện.",Positive,False,Staff_Service,"Dịch vụ tốt, giá cả phải chăng và nhân viên nhiệt tình."
R D,5 sao,3 năm trước trên,"Thuận tiện bắt taxi đi vào thành phố và mua sắm
Tôi rất thích căn hộ này.",Positive,False,Location_and_Access,Thuận tiện di chuyển và mua sắm.
Hung-Man VU,5 sao,2 năm trước trên,Nơi lưu trú tốt. Sạch sẽ.,Positive,False,Cleanliness,Nơi lưu trú tốt và sạch sẽ.
Jeffrey Lao,5 sao,2 năm trước trên,"Bảo mật và riêng tư, trên hết là thay đổi kết nối.",Positive,False,Boutique_Experience,Khách sạn mang lại cảm giác riêng tư và bảo mật tốt.
#AI ONPASSIVE VIET NAM,5 sao,một năm trước trên,Tuyệt,Positive,False,Others,Đánh giá tích cực ngắn gọn.
Nguyễn Thuỳ Linh,5 sao,2 năm trước trên,Được rồi,Neutral,False,Others,Trải nghiệm ở mức trung bình.
Minh Thanh,5 sao,2 năm trước trên,Chúc mừng sinh nhật Voi.,Neutral,False,Others,Lời chúc mừng sinh nhật.
Huong Vu,5 sao,2 tháng trước trên,"Khách sạn có bãi đỗ oto.  Ở Sài Gòn mà kiếm dc chỗ ở có bãi oto ít chỗ có lắm luôn nhưng ksan này có nhé. Phòng rất rộng và thoải mái, đầy đủ tiện nghi
Lễ tân và bell đều dễ thương. Chiều mỗi ngày đều có bạn mang bánh đặc sản lên …",Positive,False,Room_Amenities,"Khách sạn có bãi đỗ xe thuận tiện, phòng rộng rãi và dịch vụ chu đáo."
